Population and dwelling counts: Canada and census subdivisions (municipalities) 1,,,,,,,
Frequency: Occasional,,,,,,,
Table: 98-10-0002-01,,,,,,,
Release date: 2022-02-09,,,,,,,
"Geography: Canada, Province or territory, Census division, Census subdivision",,,,,,,
"Universe: All persons, 2021 and 2016 censuses – 100% data",,,,,,,
Variable List: Population and dwelling counts (13),,,,,,,
,,,,,,,
,,Population and dwelling counts (13),"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Geographic name,Geographic area type abbreviation,Province or territory abbreviation,"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Fraser Valley F,RDA,B.C.,"1,384","1,293",7,"2,015.06",0.7
Fraser Valley G,RDA,B.C.,"1,692","1,776",-4.7,96.81,17.5
Fraser Valley H,RDA,B.C.,"2,459","1,847",33.1,109.01,22.6
Harrison Hot Springs,VL,B.C.,"1,905","1,468",29.8,5.49,347.3
Holachten 8,IRI,B.C.,330,300,10,1.31,252.7
Hope,DM,B.C.,"6,686","6,181",8.2,40.87,163.6
Inkahtsaph 6,IRI,B.C.,0,0,...,2.02,0
Kahmoose 4,IRI,B.C.,5,65,-92.3,0.22,23.1
Kent,DM,B.C.,"6,300","6,067",3.8,168.59,37.4
Kopchitchin 2,IRI,B.C.,41,42,-2.4,1.48,27.6
Kwawkwawapilt 6,IRI,B.C.,295,324,-9,0.72,411.8
Lakahahmen 11,IRI,B.C.,170,177,-4,0.4,419.9
Langley 2 3,IRI,B.C.,332,279,19,0.48,691.8
Lukseetsissum 9,IRI,B.C.,52,18,188.9,0.65,80
Matsqui Main 2,IRI,B.C.,119,110,8.2,1.36,87.6
Mission 3,DM,B.C.,"41,519","38,554",7.7,226.98,182.9
Ohamil 1,IRI,B.C.,150,90,66.7,1.73,86.8
Paqulh,IRI,B.C.,0,0,...,0.25,0
Peters 1 5,IRI,B.C.,..,30,..,1.15,..
Popkum 1,IRI,B.C.,0,10,-100,1.45,0
Puckatholetchin 11,IRI,B.C.,10,5,100,2.37,4.2
Q'alatkú7em,IRI,B.C.,50,80,-37.5,0.31,162
Ruby Creek 2 3,IRI,B.C.,19,23,-17.4,0.18,106
Sachteen,IRI,B.C.,5,10,-50,0.35,14.1
Saddle Rock 9,IRI,B.C.,0,0,...,0.37,0
Schelowat 1,IRI,B.C.,5,10,-50,0.96,5.2
Schkam 2,IRI,B.C.,62,131,-52.7,0.88,70.2
Scowlitz 1,IRI,B.C.,5,10,-50,0.87,5.8
Seabird Island,IRI,B.C.,800,767,4.3,16.61,48.2
Skawahlook 1,IRI,B.C.,10,0,...,0.5,20
Skookumchuck 4,IRI,B.C.,30,85,-64.7,2.16,13.9
Skowkale,IRI,B.C.,983,841,16.9,0.72,"1,373.70"
Skwah 4,IRI,B.C.,245,192,27.6,1.16,211.1
Skwali 3,IRI,B.C.,0,10,-100,1.35,0
Skway 5,IRI,B.C.,89,84,6,2.59,34.4
Skweahm 10,IRI,B.C.,228,213,7,0.72,316.5
Soowahlie 14,IRI,B.C.,255,247,3.2,4.57,55.9
Speyum 3,IRI,B.C.,0,5,-100,1.67,0
Spuzzum 1,IRI,B.C.,55,39,41,1.34,41.2
Squawkum Creek 3,IRI,B.C.,130,116,12.1,1.58,82.2
Squiaala,IRI,B.C.,158,136,16.2,1.35,117.1
Stullawheets 8,IRI,B.C.,76,51,49,0.51,148.7
Tipella 7,IRI,B.C.,0,0,...,0,0
Tseatah 2,IRI,B.C.,15,23,-34.8,1.04,14.4
Tuckkwiowhum 1,IRI,B.C.,31,34,-8.8,0.4,78
Tzeachten 13,IRI,B.C.,"3,089","2,358",31,2.64,"1,168.60"
Upper Sumas 6,IRI,B.C.,232,178,30.3,2.56,90.5
Yakweakwioose 12,IRI,B.C.,49,44,11.4,0.21,236.3
Yale Town 1,IRI,B.C.,5,10,-50,0.1,49.7
Fort George 2,IRI,B.C.,84,105,-20,5.23,16
Fraser-Fort George A,RDA,B.C.,"3,471","3,463",0.2,"1,371.79",2.5
Fraser-Fort George C,RDA,B.C.,"3,603","3,527",2.2,"2,802.33",1.3
Fraser-Fort George D,RDA,B.C.,"4,375","4,278",2.3,667.61,6.6
Fraser-Fort George E,RDA,B.C.,533,526,1.3,614.2,0.9
Fraser-Fort George F,RDA,B.C.,"1,249","1,246",0.2,"12,487.29",0.1
Fraser-Fort George G,RDA,B.C.,365,334,9.3,"17,214.60",0
Fraser-Fort George H,RDA,B.C.,"1,589","1,586",0.2,"14,926.73",0.1
Mackenzie,DM,B.C.,"3,281","3,714",-11.7,154.19,21.3
McBride,VL,B.C.,588,616,-4.5,4.62,127.4
McLeod Lake 1,IRI,B.C.,81,87,-6.9,10.23,7.9
Prince George,CY,B.C.,"76,708","74,003",3.7,316.74,242.2
Valemount,VL,B.C.,"1,052","1,021",3,5.16,203.8
Anmore,VL,B.C.,"2,356","2,210",6.6,27.53,85.6
Barnston Island 3 5,IRI,B.C.,..,49,..,0.58,..
Belcarra,VL,B.C.,687,643,6.8,5.5,124.8
Bowen Island,IM,B.C.,"4,256","3,680",15.7,50.12,84.9
Burnaby,CY,B.C.,"249,125","232,755",7,90.57,"2,750.70"
Burrard Inlet 3 3,IRI,B.C.,"2,373","2,141",10.8,1.12,"2,123.30"
Capilano 5,IRI,B.C.,"2,899","2,931",-1.1,1.72,"1,689.10"
Coquitlam,CY,B.C.,"148,625","139,284",6.7,122.15,"1,216.70"
Coquitlam 1,IRI,B.C.,55,54,1.9,0.03,"1,774.20"
Coquitlam 2,IRI,B.C.,0,0,...,0.81,0
Delta,CY,B.C.,"108,455","102,238",6.1,179.66,603.7
Katzie 1,IRI,B.C.,244,262,-6.9,0.42,575.3
Katzie 2,IRI,B.C.,26,40,-35,0.31,84.6
Langley,DM,B.C.,"132,603","117,285",13.1,307.22,431.6
Langley,CY,B.C.,"28,963","25,888",11.9,10.18,"2,845.20"
Lions Bay,VL,B.C.,"1,390","1,334",4.2,2.53,549
Maple Ridge,CY,B.C.,"90,990","82,256",10.6,267.82,339.7
Matsqui 4,IRI,B.C.,456,471,-3.2,0.28,"1,654.60"
McMillan Island 6,IRI,B.C.,96,94,2.1,1.78,53.9
Metro Vancouver A,RDA,B.C.,"18,612","16,133",15.4,815.21,22.8
Mission 1,IRI,B.C.,570,576,-1,0.28,"2,060.00"
Musqueam 2,IRI,B.C.,"1,646","1,652",-0.4,1.84,894.7
Musqueam 4,IRI,B.C.,10,10,0,0.53,18.8
New Westminster,CY,B.C.,"78,916","70,996",11.2,15.62,"5,052.40"
North Vancouver 3,DM,B.C.,"88,168","85,649",2.9,160.66,548.8
North Vancouver,CY,B.C.,"58,120","52,898",9.9,11.83,"4,913.00"
Pitt Meadows,CY,B.C.,"19,146","18,573",3.1,86.34,221.7
Port Coquitlam,CY,B.C.,"61,498","58,612",4.9,29.16,"2,108.70"
Port Moody,CY,B.C.,"33,535","33,551",0,25.85,"1,297.30"
Richmond,CY,B.C.,"209,937","198,309",5.9,128.87,"1,629.00"
Semiahmoo,IRI,B.C.,71,120,-40.8,1.32,53.7
Seymour Creek 2,IRI,B.C.,105,123,-14.6,0.49,216
Surrey,CY,B.C.,"568,322","517,887",9.7,316.11,"1,797.90"
Tsawwassen,TWL,B.C.,"2,256",816,176.5,6.57,343.3
Vancouver,CY,B.C.,"662,248","631,486",4.9,115.18,"5,749.90"
West Vancouver,DM,B.C.,"44,122","42,473",3.9,87.18,506.1
White Rock,CY,B.C.,"21,939","19,952",10,5.17,"4,240.60"
Whonnock 1,IRI,B.C.,5,0,...,0.39,12.9
Babine 17,IRI,B.C.,87,111,-21.6,1.14,76.4
Bulkley River 19,IRI,B.C.,174,128,35.9,2.23,78.1
Coryatsaqua (Moricetown) 2,IRI,B.C.,80,86,-7,1.43,55.8
Dease Lake 9,IRI,B.C.,54,54,0,1.05,51.2
Gitanmaax 1,IRI,B.C.,560,630,-11.1,10.48,53.4
Gitanyow 1,IRI,B.C.,408,434,-6,5.01,81.4
Gitsegukla 1,IRI,B.C.,444,427,4,10.98,40.4
Gitwangak 1,IRI,B.C.,450,430,4.7,17.62,25.5
Guhthe Tah 12,IRI,B.C.,142,148,-4.1,0.31,457.9
Hagwilget 1,IRI,B.C.,183,191,-4.2,1.26,144.7
Hazelton,VL,B.C.,257,313,-17.9,2.89,89.1
Iskut 6,IRI,B.C.,478,295,62,0.58,822.3
Kispiox 1,IRI,B.C.,578,599,-3.5,12.31,47
Kitamaat 2,IRI,B.C.,507,525,-3.4,1.51,335.3
Kitasoo 1,IRI,B.C.,217,292,-25.7,3.09,70.3
Kitimat,DM,B.C.,"8,236","8,131",1.3,239.28,34.4
Kitimat-Stikine A,RDA,B.C.,48,20,140,"25,253.67",0
Kitimat-Stikine B,RDA,B.C.,"1,455","1,473",-1.2,"7,382.17",0.2
Kitimat-Stikine C (Part 1),RDA,B.C.,"2,978","2,834",5.1,"9,635.77",0.3
Kitimat-Stikine C (Part 2),RDA,B.C.,0,5,-100,"17,986.66",0
Kitimat-Stikine D 3,RDA,B.C.,74,99,-25.3,"28,105.99",0
Kitimat-Stikine E,RDA,B.C.,"3,932","3,993",-1.5,16.49,238.5
Kitimat-Stikine F,RDA,B.C.,326,360,-9.4,"12,956.41",0
Kitselas 1,IRI,B.C.,291,269,8.2,4.74,61.4
Kitsumkaylum 1,IRI,B.C.,315,334,-5.7,4.86,64.9
Kshish 4,IRI,B.C.,0,0,...,2.59,0
Kulspai 6,IRI,B.C.,73,87,-16.1,0.07,"1,022.40"
Moricetown 1,IRI,B.C.,253,306,-17.3,5.73,44.1
New Hazelton,DM,B.C.,602,580,3.8,24.34,24.7
Nisga'a,NL,B.C.,"1,794","1,880",-4.6,"2,001.25",0.9
Sik-e-dakh 2,IRI,B.C.,209,236,-11.4,4.4,47.5
Stewart,DM,B.C.,517,401,28.9,551.57,0.9
Tahltan 1,IRI,B.C.,0,0,...,1.55,0
Telegraph Creek 3,IRI,B.C.,51,53,-3.8,0.49,103.8
Terrace,CY,B.C.,"12,017","11,643",3.2,57.33,209.6
Fruitvale,VL,B.C.,"1,958","1,920",2,2.7,724.7
Grand Forks,CY,B.C.,"4,112","4,049",1.6,10.37,396.4
Greenwood,CY,B.C.,702,665,5.6,2.42,290.2
Kootenay Boundary A,RDA,B.C.,"1,624","1,891",-14.1,238.18,6.8
Kootenay Boundary B / Lower Columbia-Old-Glory,RDA,B.C.,"1,422","1,442",-1.4,776.31,1.8
Kootenay Boundary C / Christina Lake,RDA,B.C.,"1,627","1,337",21.7,529.57,3.1
Kootenay Boundary D / Rural Grand Forks,RDA,B.C.,"3,226","3,225",0,"2,117.85",1.5
Kootenay Boundary E / West Boundary,RDA,B.C.,"3,004","2,155",39.4,"4,293.14",0.7
Midway,VL,B.C.,651,649,0.3,12.23,53.2
Montrose,VL,B.C.,"1,013",996,1.7,1.46,693.1
Rossland,CY,B.C.,"4,140","3,729",11,59.72,69.3
Trail,CY,B.C.,"7,920","7,709",2.7,34.9,226.9
Warfield,VL,B.C.,"1,753","1,680",4.3,1.89,929.3
Alert Bay 2,VL,B.C.,449,479,-6.3,1.69,265.3
Alert Bay 3,IRI,B.C.,382,460,-17,2.5,153.1
Dead Point 5,IRI,B.C.,22,10,120,0.42,52.7
Fort Rupert 1,IRI,B.C.,58,27,114.8,0.05,"1,205.80"
Gwayasdums 1,IRI,B.C.,38,27,40.7,0.32,119.5
Hope Island 1,IRI,B.C.,0,0,...,36.65,0
Hopetown 10A,IRI,B.C.,0,0,...,0.03,0
Kippase 2,IRI,B.C.,220,228,-3.5,0.14,"1,578.20"
Mount Waddington A 3,RDA,B.C.,695,724,-4,"12,666.41",0.1
Mount Waddington B,RDA,B.C.,35,60,-41.7,"2,579.60",0
Mount Waddington C,RDA,B.C.,764,750,1.9,"1,505.03",0.5
Mount Waddington D 3,RDA,B.C.,371,394,-5.8,"3,331.05",0.1
Nimpkish 2 2,IRI,B.C.,0,10,-100,0.03,0
Port Alice,VL,B.C.,739,664,11.3,7.03,105.1
Port Hardy 3,DM,B.C.,"3,902","4,132",-5.6,38.55,101.2
Port McNeill,T,B.C.,"2,356","2,337",0.8,13.77,171.1
Quaee 7,IRI,B.C.,111,78,42.3,2.05,54.2
Quatsino Subdivision 18,IRI,B.C.,246,224,9.8,0.24,"1,018.20"
Thomas Point 5,IRI,B.C.,0,0,...,0.19,0
Thomas Point 5A 3,IRI,B.C.,0,0,...,0.13,0
Tsulquate 4,IRI,B.C.,451,431,4.6,0.6,753
Lantzville,DM,B.C.,"3,817","3,605",5.9,27.68,137.9
Nanaimo,CY,B.C.,"99,863","90,504",10.3,90.45,"1,104.10"
Nanaimo A,RDA,B.C.,"7,481","7,058",6,60.18,124.3
Nanaimo B,RDA,B.C.,"4,500","4,033",11.6,58.02,77.6
Nanaimo C,RDA,B.C.,"3,344","2,808",19.1,"1,097.77",3
Nanaimo E,RDA,B.C.,"6,765","6,125",10.4,74.83,90.4
Nanaimo F,RDA,B.C.,"8,216","7,724",6.4,264.11,31.1
Nanaimo G 3,RDA,B.C.,"8,109","7,526",7.7,49.31,164.4
Nanaimo H,RDA,B.C.,"4,291","3,884",10.5,277.14,15.5
Nanaimo River,IRI,B.C.,323,371,-12.9,2.29,140.9
Nanaimo Town 1,IRI,B.C.,386,360,7.2,0.2,"1,911.80"
Nanoose,IRI,B.C.,245,230,6.5,0.71,347.4
Parksville 3,CY,B.C.,"13,642","12,453",9.5,14.52,939.5
Qualicum,IRI,B.C.,82,74,10.8,0.74,110.3
Qualicum Beach,T,B.C.,"9,303","8,943",4,17.98,517.5
Armstrong,CY,B.C.,"5,323","5,114",4.1,5.22,"1,020.00"
Coldstream,DM,B.C.,"11,171","10,648",4.9,66.57,167.8
Enderby,CY,B.C.,"3,028","2,964",2.2,4.26,710.4
Enderby 2,IRI,B.C.,440,316,39.2,22.99,19.1
Harris 3,IRI,B.C.,0,5,-100,0.51,0
Lumby,VL,B.C.,"2,063","1,833",12.5,5.93,347.7
North Okanagan B,RDA,B.C.,"3,274","3,203",2.2,487.8,6.7
North Okanagan C 3,RDA,B.C.,"4,511","3,870",16.6,300.14,15
North Okanagan D,RDA,B.C.,"2,909","2,672",8.9,"1,790.98",1.6
North Okanagan E,RDA,B.C.,"1,092","1,010",8.1,"2,604.05",0.4
North Okanagan F,RDA,B.C.,"4,362","4,000",9.1,"1,767.29",2.5
Okanagan (Part) 1 3,IRI,B.C.,"3,244","2,859",13.5,89.79,36.1
Priest's Valley 6,IRI,B.C.,367,628,-41.6,0.36,"1,024.90"
Spallumcheen,DM,B.C.,"5,307","5,106",3.9,254.92,20.8
Vernon 3,CY,B.C.,"44,519","40,116",11,96.43,461.7
Fontas 1 3,IRI,B.C.,5,5,0,0.13,38.9
Fort Nelson 2 3,IRI,B.C.,419,425,-1.4,95.58,4.4
Kahntah 3,IRI,B.C.,0,0,...,0.08,0
Northern Rockies 3,RGM,B.C.,"3,947","4,862",-18.8,"84,759.31",0
Prophet River 4 3,IRI,B.C.,107,101,5.9,3.79,28.2
Alexis 9,IRI,B.C.,10,10,0,1.88,5.3
Ashnola 10,IRI,B.C.,58,83,-30.1,35.91,1.6
Blind Creek 6,IRI,B.C.,26,26,0,1.58,16.5
Chopaka 7 & 8,IRI,B.C.,86,81,6.2,16.98,5.1
Chuchuwayha 2,IRI,B.C.,86,58,48.3,21.38,4
Keremeos,VL,B.C.,"1,608","1,502",7.1,2.09,768.3
Lower Similkameen 2,IRI,B.C.,76,58,31,12.98,5.9
Lulu 5 3,IRI,B.C.,15,20,-25,0.21,73.1
Okanagan-Similkameen A,RDA,B.C.,"2,139","1,858",15.1,258.04,8.3
Okanagan-Similkameen B,RDA,B.C.,"1,151","1,047",9.9,238.78,4.8
Okanagan-Similkameen C,RDA,B.C.,"3,986","3,557",12.1,444.75,9
Okanagan-Similkameen D 3,RDA,B.C.,"4,016","3,757",6.9,583.93,6.9
Okanagan-Similkameen E,RDA,B.C.,"2,015","1,903",5.9,491.9,4.1
Okanagan-Similkameen F,RDA,B.C.,"2,092","2,014",3.9,568.86,3.7
Okanagan-Similkameen G 3,RDA,B.C.,"2,298","2,134",7.7,"2,110.68",1.1
Okanagan-Similkameen H 3,RDA,B.C.,"2,232","1,933",15.5,"4,757.22",0.5
Okanagan-Similkameen I 3,RDA,B.C.,"2,307","2,219",4,344.36,6.7
Oliver,T,B.C.,"5,094","4,928",3.4,5.49,927.9
Osoyoos 2,T,B.C.,"5,556","5,050",10,8.41,660.7
Osoyoos 1,IRI,B.C.,"1,426",762,87.1,130.34,10.9
Penticton,CY,B.C.,"36,885","33,761",9.3,43.03,857.3
Penticton 1,IRI,B.C.,"2,080","1,783",16.7,194.55,10.7
Princeton,T,B.C.,"2,894","2,828",2.3,59.28,48.8
Summerland,DM,B.C.,"12,042","11,615",3.7,74.04,162.6
Blueberry River 205,IRI,B.C.,145,197,-26.4,13.13,11
Chetwynd,DM,B.C.,"2,302","2,503",-8,63.55,36.2
Dawson Creek,CY,B.C.,"12,323","12,178",1.2,26.72,461.1
Doig River 206,IRI,B.C.,85,118,-28,11.35,7.5
East Moberly Lake 169,IRI,B.C.,297,381,-22,31.08,9.6
Finlay River 6 3,IRI,B.C.,229,0,...,9.49,24.1
Fort St. John 3,CY,B.C.,"21,465","20,260",5.9,32.67,656.9
Fort Ware 1,IRI,B.C.,242,332,-27.1,3.62,66.9
Halfway River 168,IRI,B.C.,247,172,43.6,40.27,6.1
Hudson's Hope,DM,B.C.,841,"1,015",-17.1,826.7,1
Ingenika Point,S-É,B.C.,0,234,-100,5.56,0
Mesilinka 7 3,IRI,B.C.,0,0,...,4.27,0
Peace River B,RDA,B.C.,"5,379","5,628",-4.4,"85,959.79",0.1
Peace River C 3,RDA,B.C.,"5,947","6,667",-10.8,568.14,10.5
Peace River D,RDA,B.C.,"4,793","5,920",-19,"11,688.01",0.4
Peace River E,RDA,B.C.,"2,660","2,949",-9.8,"16,336.91",0.2
Pouce Coupe,VL,B.C.,762,792,-3.8,2.06,370.3
Taylor,DM,B.C.,"1,317","1,469",-10.3,16.92,77.8
Tumbler Ridge,DM,B.C.,"2,399","1,987",20.7,"1,557.41",1.5
West Moberly Lake 168A,IRI,B.C.,99,140,-29.3,19.09,5.2
Powell River,CY,B.C.,"13,943","13,157",6,28.91,482.4
Sechelt (Part),IGD,B.C.,21,21,0,0.24,86.6
Sliammon 1,TAL,B.C.,797,707,12.7,8.14,98
qathet A,RDA,B.C.,"1,250","1,105",13.1,"3,886.89",0.3
qathet B,RDA,B.C.,"1,664","1,541",8,128.61,12.9
qathet C,RDA,B.C.,"2,197","2,064",6.4,642.05,3.4
qathet D,RDA,B.C.,"1,126","1,076",4.6,299.75,3.8
qathet E,RDA,B.C.,498,399,24.8,73.32,6.8
Dolphin Island 1,IRI,B.C.,295,353,-16.4,15.09,19.5
Kulkayu (Hartley Bay) 4,IRI,B.C.,58,52,11.5,1.14,51
Kulkayu (Hartley Bay) 4A 3,IRI,B.C.,66,29,127.6,0.51,129.6
Lax Kw'alaams 1,IRI,B.C.,627,646,-2.9,108.84,5.8
Masset,VL,B.C.,838,793,5.7,20.69,40.5
Masset 1,IRI,B.C.,475,555,-14.4,3.16,150.4
North Coast A,RDA,B.C.,45,41,9.8,"2,928.16",0
North Coast C 2,RDA,B.C.,31,85,-63.5,"6,484.78",0
North Coast D 3,RDA,B.C.,580,468,23.9,"6,418.04",0.1
North Coast E,RDA,B.C.,325,340,-4.4,"3,408.85",0.1
Port Clements,VL,B.C.,340,282,20.6,13.07,26
Port Edward,DM,B.C.,470,467,0.6,167.16,2.8
Prince Rupert,CY,B.C.,"12,300","12,220",0.7,66,186.4
Queen Charlotte 2,VL,B.C.,964,884,9,35.58,27.1
S1/2 Tsimpsean 2 5,IRI,B.C.,..,88,..,33.47,..
Skidegate 1,IRI,B.C.,697,837,-16.7,5.12,136
Tlaa Gaa Aawtlaas 28 3,IRI,B.C.,70,71,-1.4,0.64,109.3
Bridge River 1,IRI,B.C.,242,241,0.4,39.02,6.2
Cayoosh Creek 1,IRI,B.C.,66,66,0,1.58,41.9
Cheakamus 11,IRI,B.C.,95,57,66.7,18.81,5
Chilhil 6,IRI,B.C.,63,70,-10,2.54,24.8
Fountain 1,IRI,B.C.,93,111,-16.2,1.38,67.5
Fountain 10,IRI,B.C.,5,5,0,0.97,5.1
Fountain 11,IRI,B.C.,0,0,...,0.22,0
Fountain 12,IRI,B.C.,10,10,0,0.3,33.7
Fountain 1B,IRI,B.C.,63,73,-13.7,0.85,74
Fountain 1D 3,IRI,B.C.,25,5,400,0.25,99.4
Fountain 3,IRI,B.C.,10,10,0,2.84,3.5
Fountain 3A 3,IRI,B.C.,0,0,...,0.23,0
Fountain Creek 8,IRI,B.C.,0,0,...,0.23,0
Kowtain 17,IRI,B.C.,59,35,68.6,0.24,245
Lillooet,DM,B.C.,"2,302","2,275",1.2,27.63,83.3
Lillooet 1,IRI,B.C.,285,243,17.3,3.78,75.4
McCartney's Flat 4,IRI,B.C.,24,26,-7.7,1.81,13.2
Mission 5,IRI,B.C.,19,23,-17.4,0.26,73.1
Mount Currie,IRI,B.C.,"1,242","1,285",-3.3,24.05,51.7
Necait 6,IRI,B.C.,5,20,-75,0.37,13.5
Nequatque 2,IRI,B.C.,155,164,-5.5,1.97,78.8
Nesikep 6,IRI,B.C.,5,10,-50,5.6,0.9
Nesuch 3,IRI,B.C.,95,138,-31.2,4.74,20
Pashilqua 2,IRI,B.C.,57,45,26.7,3.13,18.2
Pavilion 1,IRI,B.C.,48,52,-7.7,9.42,5.1
Pemberton,VL,B.C.,"3,407","2,574",32.4,61.36,55.5
Seaichem 16,IRI,B.C.,15,51,-70.6,0.03,524.5
Seton Lake 5,IRI,B.C.,0,0,...,0.02,0
Slosh 1 3,IRI,B.C.,215,152,41.4,7,30.7
Squamish 3,DM,B.C.,"23,819","19,497",22.2,104.71,227.5
Squamish-Lillooet A,RDA,B.C.,305,187,63.1,"3,712.38",0.1
Squamish-Lillooet B 3,RDA,B.C.,373,383,-2.6,"3,463.88",0.1
Squamish-Lillooet C,RDA,B.C.,"2,000","1,663",20.3,"5,513.22",0.4
Squamish-Lillooet D,RDA,B.C.,"1,057","1,057",0,"3,040.20",0.3
Stawamus 24,IRI,B.C.,98,107,-8.4,0.26,381.6
Towinock 2,IRI,B.C.,16,5,220,0.88,18.2
Waiwakum 14 3,IRI,B.C.,224,175,28,0.17,"1,303.80"
Whistler 2,DM,B.C.,"13,982","11,746",19,240,58.3
Yekwaupsum 18,IRI,B.C.,17,28,-39.3,0.02,696.7
Dease River 1 3,IRI,B.C.,39,52,-25,1.48,26.3
Five Mile Point 3,IRI,B.C.,83,114,-27.2,7.86,10.6
Good Hope Lake,S-É,B.C.,0,0,...,0.47,0
Liard River 3 3,IRI,B.C.,114,66,72.7,2.88,39.5
Lower Post 3,S-É,B.C.,5,25,-80,0.15,33.2
Stikine Region 3,RDA,B.C.,424,455,-6.8,"118,395.89",0
Unnamed 10,IRI,B.C.,18,28,-35.7,0.03,676.7
Ahaminaquus 12,IRI,B.C.,0,0,...,0.18,0
Campbell River 3,CY,B.C.,"35,519","33,007",7.6,144.38,246
Campbell River 11,IRI,B.C.,506,381,32.8,1.02,498.2
Cape Mudge 10,IRI,B.C.,145,147,-1.4,4.94,29.3
Chenahkint 12,IRI,B.C.,0,0,...,0.24,0
Ehatis 11,IRI,B.C.,91,88,3.4,0.23,393.8
Gold River,VL,B.C.,"1,246","1,212",2.8,10.92,114.2
Homalco 9,IRI,B.C.,214,202,5.9,0.78,275.5
Houpsitas 6,IRI,B.C.,157,181,-13.3,0.14,"1,159.50"
Nenagwas 12 3,IRI,B.C.,0,0,...,2.4,0
Oclucje 7,IRI,B.C.,29,30,-3.3,0.12,234.6
Quinsam 12,IRI,B.C.,312,294,6.1,1.41,221.8
Sayward,VL,B.C.,334,311,7.4,4.44,75.2
Squirrel Cove 8,IRI,B.C.,0,0,...,0.17,0
Strathcona A,RDA,B.C.,864,764,13.1,"7,111.01",0.1
Strathcona B,RDA,B.C.,"1,059","1,035",2.3,135.55,7.8
Strathcona C,RDA,B.C.,"2,737","2,431",12.6,"9,229.03",0.3
Strathcona D (Oyster Bay - Buttle Lake) 3,RDA,B.C.,"4,153","3,977",4.4,"1,584.07",2.6
Tahsis,VL,B.C.,393,248,58.5,5.26,74.7
Tork 7,IRI,B.C.,60,64,-6.3,2.63,22.8
Tsa Xana 18,IRI,B.C.,205,187,9.6,1.83,112
Village Island 1,IRI,B.C.,0,0,...,0.55,0
Yuquot 1,IRI,B.C.,0,5,-100,0.81,0
Zeballos,VL,B.C.,126,107,17.8,1.55,81.4
Chekwelp 26,IRI,B.C.,0,0,...,0.13,0
Gibsons,T,B.C.,"4,758","4,605",3.3,4.31,"1,103.20"
Sechelt,DM,B.C.,"10,847","10,216",6.2,39.02,278
Sechelt (Part) 3,IGD,B.C.,744,676,10.1,10.79,68.9
Sunshine Coast A 3,RDA,B.C.,"3,039","2,619",16,"1,898.02",1.6
Sunshine Coast B,RDA,B.C.,"2,969","2,726",8.9,"1,269.45",2.3
Sunshine Coast D,RDA,B.C.,"3,523","3,421",3,143.36,24.6
Sunshine Coast E,RDA,B.C.,"3,883","3,664",6,21.6,179.7
Sunshine Coast F,RDA,B.C.,"2,407","2,043",17.8,380.75,6.3
105 Mile Post 2,IRI,B.C.,5,10,-50,13.65,0.4
Ashcroft,VL,B.C.,"1,670","1,558",7.2,50.86,32.8
Ashcroft 4,IRI,B.C.,42,68,-38.2,1.4,30
Barriere,DM,B.C.,"1,765","1,713",3,10.73,164.5
Basque 18 5,IRI,B.C.,..,0,..,4.29,..
Bonaparte 3,IRI,B.C.,159,121,31.4,7.06,22.5
Boothroyd 8A,IRI,B.C.,0,0,...,0.03,0
Cache Creek,VL,B.C.,969,963,0.6,10.4,93.2
Canoe Creek 1,IRI,B.C.,56,60,-6.7,0.7,79.5
Canoe Creek 2,IRI,B.C.,104,34,205.9,15.76,6.6
Chase,VL,B.C.,"2,399","2,286",4.9,3.75,639.3
Chuchhraischin,IRI,B.C.,0,0,...,0.18,0
Clearwater,DM,B.C.,"2,388","2,324",2.8,55.65,42.9
Clinton,VL,B.C.,568,641,-11.4,8.14,69.7
Coldwater 1,IRI,B.C.,350,318,10.1,18.35,19.1
Douglas Lake 3,IRI,B.C.,188,149,26.2,94.5,2
Entlqwekkinh 19 3,IRI,B.C.,5,0,...,0.76,6.6
Halhalaeden,IRI,B.C.,10,5,100,1.66,6
Hamilton Creek 2,IRI,B.C.,0,0,...,0.81,0
High Bar 1,IRI,B.C.,0,0,...,13.45,0
Inkluckcheen 3,IRI,B.C.,190,156,21.8,4.33,43.9
Inklyuhkinatko 2,IRI,B.C.,26,30,-13.3,0.69,37.7
Joeyaska 2,IRI,B.C.,58,42,38.1,1.3,44.5
Kamloops,CY,B.C.,"97,902","90,280",8.4,297.93,328.6
Kamloops 1,IRI,B.C.,"3,915","3,021",29.6,136.73,28.6
Kanaka Bar 3,IRI,B.C.,0,15,-100,1.16,0
Kitzowit 20,IRI,B.C.,21,16,31.3,0.12,172
Klahkamich 17,IRI,B.C.,33,32,3.1,0.12,278
Kleetlekut 22,IRI,B.C.,15,10,50,1.21,12.4
Klickkumcheen 18,IRI,B.C.,82,80,2.5,0.23,360.9
Kloklowuck 7 5,IRI,B.C.,..,5,..,0.81,..
Kumcheen 1 5,IRI,B.C.,..,41,..,0.15,..
Logan Lake,DM,B.C.,"2,255","1,993",13.1,324.28,7
Louis Creek 4,IRI,B.C.,15,10,50,0.03,465.8
Lower Hat Creek 2,IRI,B.C.,61,25,144,8.38,7.3
